# name,orbital_period,semi_major_axis,eccentricity,discovered,detection_type,star_name,star_distance,star_metallicity,star_mass,star_sp_type
Kepler-660 b,9.27358194,,,2016,Primary Transit,Kepler-660,564,-0.07,0.75,
Kepler-661 b,6.02930132,,,2016,Primary Transit,Kepler-661,558,-0.05,0.7,
Kepler-662 b,21.67697486,,,2016,Primary Transit,Kepler-662,641,-0.03,0.79,
Kepler-663 b,4.99678284,,,2016,Primary Transit,Kepler-663,1030,0.03,0.86,
Kepler-664 b,2.52559332,,,2016,Primary Transit,Kepler-664,1386,0.07,1.01,
Kepler-665 b,16.01310205,,,2016,Primary Transit,Kepler-665,651,-0.03,0.79,
Kepler-666 b,4.49876092,,,2016,Primary Transit,Kepler-666,1330,0.01,1.03,
Kepler-667 b,41.43962808,,,2016,Primary Transit,Kepler-667,907,0.15,0.91,
Kepler-668 b,8.35390639,,,2016,Primary Transit,Kepler-668,877,-0.06,0.87,
Kepler-669 b,4.12554687,,,2016,Primary Transit,Kepler-669,1778,0.14,1.15,
Kepler-67 b,15.7259,0.1171,,2013,Primary Transit,Kepler-67,1107,0.012,0.865,G9V
Kepler-670 b,2.81650485,,,2016,Primary Transit,Kepler-670,980,0.07,0.99,
Kepler-671 b,4.28095859,,,2016,Primary Transit,Kepler-671,1139,0.08,0.97,
Kepler-672 b,38.3774623,,,2016,Primary Transit,Kepler-672,1011,-0.01,0.95,
Kepler-673 b,3.72873109,,,2016,Primary Transit,Kepler-673,978,0,0.88,
Kepler-674 b,2.24338185,,,2016,Primary Transit,Kepler-674,302,-0.27,0.6,
Kepler-675 b,2.33743801,,,2016,Primary Transit,Kepler-675,651,-0.05,0.79,
Kepler-676 b,11.59822172,,,2016,Primary Transit,Kepler-676,243,-0.02,0.51,
Kepler-677 b,6.57531678,,,2016,Primary Transit,Kepler-677,1180,0.06,1,
Kepler-678 b,7.27503724,,,2016,Primary Transit,Kepler-678,875,0.07,0.94,
Kepler-679 b,12.39358604,,,2016,Primary Transit,Kepler-679,968,-0.09,0.87,
Kepler-68 b,5.3987533,0.0617,0.02,2013,Primary Transit,Kepler-68,135,0.12,1.079,
Kepler-68 c,9.604979,0.09059,0.42,2013,Primary Transit,Kepler-68,135,0.12,1.079,
Kepler-68 d,625,1.4,0.18,2013,Radial Velocity,Kepler-68,135,0.12,1.079,
Kepler-680 b,3.68992629,,,2016,Primary Transit,Kepler-680,1342,0.13,1.08,
Kepler-681 b,26.39435646,,,2016,Primary Transit,Kepler-681,666,-0.04,0.8,
Kepler-682 b,12.61190667,,,2016,Primary Transit,Kepler-682,951,-0.05,0.92,
Kepler-683 b,2.53918318,,,2016,Primary Transit,Kepler-683,976,-0.03,0.96,
Kepler-684 b,6.77030201,,,2016,Primary Transit,Kepler-684,1066,-0.11,0.89,
Kepler-685 b,1.6255222,,,2016,Primary Transit,Kepler-685,1145,0.15,1.11,
Kepler-686 b,1.59474546,,,2016,Primary Transit,Kepler-686,1203,-0.07,0.94,
Kepler-687 b,20.50586978,,,2016,Primary Transit,Kepler-687,628,-0.04,0.77,
Kepler-688 b,3.89593684,,,2016,Primary Transit,Kepler-688,1247,0.02,0.98,
Kepler-689 b,22.36656079,,,2016,Primary Transit,Kepler-689,1044,-0.01,0.91,
Kepler-69 b,13.722341,0.094,0.16,2013,Primary Transit,Kepler-69,,-0.29,0.81,G4V
Kepler-69 c,242.4613,0.64,0.14,2013,Primary Transit,Kepler-69,,-0.29,0.81,G4V
Kepler-690 b,7.74809437,,,2016,Primary Transit,Kepler-690,1653,0.19,1.11,
Kepler-691 b,8.114379,,,2016,Primary Transit,Kepler-691,239,0.04,0.53,
Kepler-692 b,21.81293494,,,2016,Primary Transit,Kepler-692,1000,-0.01,0.9,
Kepler-693 b,15.37563332,,,2016,Primary Transit,Kepler-693,1002,-0.1,0.76,
Kepler-694 b,6.36584161,,,2016,Primary Transit,Kepler-694,1023,0,0.97,
Kepler-695 b,3.04033042,,,2016,Primary Transit,Kepler-695,620,-0.01,0.84,
Kepler-696 b,4.19042557,,,2016,Primary Transit,Kepler-696,1285,0.07,1.06,
Kepler-697 b,3.70987065,,,2016,Primary Transit,Kepler-697,1091,-0.01,0.92,
Kepler-698 b,16.32976218,,,2016,Primary Transit,Kepler-698,1135,-0.03,0.94,
Kepler-699 b,27.80756293,,,2016,Primary Transit,Kepler-699,888,-0.26,0.81,
Kepler-7 b,4.885525,0.06246,0.1,2010,Primary Transit,Kepler-7,,0.11,1.36,
Kepler-700 b,80.8720639,,,2016,Primary Transit,Kepler-700,1061,0.04,0.98,
Kepler-701 b,10.35533177,,,2016,Primary Transit,Kepler-701,755,0,0.88,
Kepler-702 b,10.52629406,,,2016,Primary Transit,Kepler-702,892,0,0.9,
Kepler-703 b,4.58352176,,,2016,Primary Transit,Kepler-703,1482,0.05,1.18,
Kepler-704 b,3.76182115,,,2016,Primary Transit,Kepler-704,1054,0.09,0.97,
Kepler-705 b,56.0560538,,,2016,Primary Transit,Kepler-705,251,0.07,0.53,
Kepler-706 b,41.40831347,,,2016,Primary Transit,Kepler-706,810,-0.06,0.87,
Kepler-707 b,2.23749275,,,2016,Primary Transit,Kepler-707,626,-0.12,0.8,
Kepler-708 b,3.16789194,,,2016,Primary Transit,Kepler-708,1241,0.01,0.97,
Kepler-709 b,16.08524954,,,2016,Primary Transit,Kepler-709,668,-0.08,0.8,
Kepler-71 b,3.905081,0.047,0,2013,Primary Transit,Kepler-71,,-0.2,0.923,
Kepler-710 b,4.34728553,,,2016,Primary Transit,Kepler-710,919,-0.04,0.94,
Kepler-711 b,23.58914398,,,2016,Primary Transit,Kepler-711,664,-0.04,0.84,
Kepler-712 b,21.02247699,,,2016,Primary Transit,Kepler-712,944,-0.03,0.84,
Kepler-712 c,226.89047,,,2016,Primary Transit,Kepler-712,944,-0.03,0.84,
Kepler-713 b,7.411141,,,2016,Primary Transit,Kepler-713,1003,-0.03,0.98,
Kepler-714 b,8.09888799,,,2016,Primary Transit,Kepler-714,1460,0.04,1.09,
Kepler-715 b,10.00652995,,,2016,Primary Transit,Kepler-715,1214,0.02,1.04,
Kepler-716 b,10.37168453,,,2016,Primary Transit,Kepler-716,675,0,0.83,
Kepler-717 b,4.40840023,,,2016,Primary Transit,Kepler-717,1126,-0.12,0.88,
Kepler-718 b,2.0523499,,,2016,Primary Transit,Kepler-718,1520,0.06,1.18,
Kepler-719 b,5.00731778,,,2016,Primary Transit,Kepler-719,1427,-0.02,0.99,
Kepler-720 b,4.70832654,,,2016,Primary Transit,Kepler-720,880,0,0.95,
Kepler-721 b,5.39202539,,,2016,Primary Transit,Kepler-721,848,-0.01,0.82,
Kepler-722 b,4.09357325,,,2016,Primary Transit,Kepler-722,1375,0.02,1.03,
Kepler-722 c,105.144749,,,2016,Primary Transit,Kepler-722,1375,0.02,1.03,
Kepler-723 b,4.08227507,,,2016,Primary Transit,Kepler-723,965,0,0.92,
Kepler-724 b,3.31494634,,,2016,Primary Transit,Kepler-724,862,-0.02,0.9,
Kepler-725 b,39.64317811,,,2016,Primary Transit,Kepler-725,778,-0.01,0.88,
Kepler-726 b,21.80451088,,,2016,Primary Transit,Kepler-726,838,-0.09,0.88,
Kepler-727 b,5.15448442,,,2016,Primary Transit,Kepler-727,892,-0.01,0.89,
Kepler-728 b,5.74347727,,,2016,Primary Transit,Kepler-728,1236,-0.03,0.95,
Kepler-729 b,3.16635371,,,2016,Primary Transit,Kepler-729,1271,-0.05,0.94,
Kepler-730 b,6.491682808,0.0694,,2016,Primary Transit,Kepler-730,1455,0.07,1,
Kepler-730 c,2.85188338,0.03997,,2018,Primary Transit,Kepler-730,1455,0.07,1,
Kepler-731 b,3.85560355,,,2016,Primary Transit,Kepler-731,1311,0.04,1.03,
Kepler-732 b,9.46781405,,,2016,Primary Transit,Kepler-732,150,-0.01,0.49,
Kepler-732 c,0.89304124,,,2016,Primary Transit,Kepler-732,150,-0.01,0.49,
Kepler-733 b,20.83424726,,,2016,Primary Transit,Kepler-733,980,0.01,0.9,
Kepler-734 b,6.10485286,,,2016,Primary Transit,Kepler-734,553,-0.17,0.85,
Kepler-735 b,11.51516988,,,2016,Primary Transit,Kepler-735,790,0.07,0.85,
Kepler-736 b,3.60147201,,,2016,Primary Transit,Kepler-736,1007,0.03,0.86,
Kepler-737 b,28.59915399,,,2016,Primary Transit,Kepler-737,195,-0.24,0.51,
Kepler-738 b,24.58721573,,,2016,Primary Transit,Kepler-738,992,-0.09,0.86,
Kepler-739 b,12.53248465,,,2016,Primary Transit,Kepler-739,1128,-0.08,0.93,
Kepler-74 b,7.340718,0.084,0.287,2012,Primary Transit,Kepler-74,1330,0.34,1.4,F8V
Kepler-740 b,3.58410122,,,2016,Primary Transit,Kepler-740,1262,0.03,0.91,
Kepler-741 b,7.03902374,,,2016,Primary Transit,Kepler-741,1530,0.07,1.16,
Kepler-742 b,8.36086824,,,2016,Primary Transit,Kepler-742,499,0.07,0.76,
Kepler-743 b,3.17926292,,,2016,Primary Transit,Kepler-743,258,0.01,0.94,
Kepler-744 b,12.06222443,,,2016,Primary Transit,Kepler-744,486,0,0.94,
Kepler-745 b,9.93143556,,,2016,Primary Transit,Kepler-745,1199,0.06,1.04,
Kepler-746 b,3.48159251,,,2016,Primary Transit,Kepler-746,450,0.09,0.91,
Kepler-747 b,35.61760587,,,2016,Primary Transit,Kepler-747,855,-0.03,0.82,
Kepler-748 b,7.40742793,,,2016,Primary Transit,Kepler-748,1271,0.08,1.07,
Kepler-749 b,17.31716585,,,2016,Primary Transit,Kepler-749,753,-0.11,0.79,
Kepler-75 b,8.884924,0.08,0.569,2013,Primary Transit,Kepler-75,1140,-0.07,0.88,G8V
Kepler-750 b,9.42887179,,,2016,Primary Transit,Kepler-750,1181,0.03,1.15,
Kepler-750 c,4.08899022,,,2016,Primary Transit,Kepler-750,1181,0.03,1.15,
Kepler-751 b,17.44490636,,,2016,Primary Transit,Kepler-751,748,-0.06,0.87,
Kepler-752 b,18.82747265,,,2016,Primary Transit,Kepler-752,1075,-0.08,0.87,
Kepler-753 b,5.74772501,,,2016,Primary Transit,Kepler-753,278,-0.03,0.68,
Kepler-754 b,14.5596237,,,2016,Primary Transit,Kepler-754,1192,0.05,1.06,
Kepler-755 b,1.26909037,,,2016,Primary Transit,Kepler-755,368,-0.01,0.82,
Kepler-755 c,2.85313364,,,2016,Primary Transit,Kepler-755,368,-0.01,0.82,
Kepler-756 b,1.22486632,,,2016,Primary Transit,Kepler-756,852,-0.19,0.82,
Kepler-757 b,1.02267882,,,2016,Primary Transit,Kepler-757,1016,0.02,1.08,
Kepler-758 b,12.1097104,,,2016,Primary Transit,Kepler-758,1353,-0.1,1.16,
Kepler-758 c,4.75793986,,,2016,Primary Transit,Kepler-758,1353,-0.1,1.16,
Kepler-758 d,20.4966197,,,2016,Primary Transit,Kepler-758,1353,-0.1,1.16,
Kepler-758 e,8.1934719,,,2016,Primary Transit,Kepler-758,1353,-0.1,1.16,
Kepler-759 b,41.805985,,,2016,Primary Transit,Kepler-759,892,0.06,1.04,
Kepler-76 b,1.54492875,0.028,,2013,Primary Transit,Kepler-76,,-0.1,1.2,
Kepler-760 b,8.70419416,,,2016,Primary Transit,Kepler-760,782,0.08,0.89,
Kepler-760 c,2.46697439,,,2016,Primary Transit,Kepler-760,782,0.08,0.89,
Kepler-761 b,10.12804789,,,2016,Primary Transit,Kepler-761,867,-0.09,0.95,
Kepler-762 b,3.7705521,,,2016,Primary Transit,Kepler-762,1465,0.02,1.06,
Kepler-763 b,1.19655156,,,2016,Primary Transit,Kepler-763,902,0.01,0.84,
Kepler-764 b,7.33683936,,,2016,Primary Transit,Kepler-764,1013,-0.06,0.92,
Kepler-765 b,27.6655226,,,2016,Primary Transit,Kepler-765,1000,0.04,1.05,
Kepler-766 b,6.10027804,,,2016,Primary Transit,Kepler-766,1614,0.09,1.1,
Kepler-767 b,161.5280101,,,2016,Primary Transit,Kepler-767,1185,-0.05,0.96,
Kepler-768 b,11.3910025,,,2016,Primary Transit,Kepler-768,795,-0.03,0.82,
Kepler-769 b,7.42608998,,,2016,Primary Transit,Kepler-769,1362,0.06,1.19,
Kepler-769 c,15.9870174,,,2016,Primary Transit,Kepler-769,1362,0.06,1.19,
Kepler-77 b,3.5787087,0.04501,0,2013,Primary Transit,Kepler-77,570,0.2,0.95,G5V
Kepler-770 b,18.92540274,,,2016,Primary Transit,Kepler-770,761,-0.01,0.94,
Kepler-770 c,1.47532231,,,2016,Primary Transit,Kepler-770,761,-0.01,0.94,
Kepler-770 d,4.15244722,,,2016,Primary Transit,Kepler-770,761,-0.01,0.94,
Kepler-771 b,8.73485836,,,2016,Primary Transit,Kepler-771,1000,0.01,1.03,
Kepler-772 b,12.99207337,,,2016,Primary Transit,Kepler-772,689,0.03,0.98,
Kepler-773 b,3.74910006,,,2016,Primary Transit,Kepler-773,528,0.05,1.04,
Kepler-774 b,11.0895723,,,2016,Primary Transit,Kepler-774,1190,0.04,1.57,
Kepler-775 b,0.97486893,,,2016,Primary Transit,Kepler-775,400,-0.04,0.92,
Kepler-776 b,4.89718784,,,2016,Primary Transit,Kepler-776,727,0.05,0.83,
Kepler-777 b,5.72812599,,,2016,Primary Transit,Kepler-777,383,-0.17,0.58,
Kepler-778 b,3.75574426,,,2016,Primary Transit,Kepler-778,899,-0.09,0.81,
Kepler-779 b,7.09714223,,,2016,Primary Transit,Kepler-779,224,-0.43,0.46,
Kepler-78 b,0.35500745,0.01,,2013,Primary Transit,Kepler-78,,-0.14,0.81,G
Kepler-780 b,0.67737516,,,2016,Primary Transit,Kepler-780,520,0.05,1.01,
Kepler-781 b,13.2140732,,,2016,Primary Transit,Kepler-781,1036,-0.1,0.81,
Kepler-782 b,158.6853308,,,2016,Primary Transit,Kepler-782,412,-0.14,0.98,
Kepler-783 b,4.29264638,,,2016,Primary Transit,Kepler-783,544,0.01,0.93,
Kepler-784 b,31.5922646,,,2016,Primary Transit,Kepler-784,604,0.07,1,
Kepler-785 b,1.97376093,,,2016,Primary Transit,Kepler-785,666,-0.02,0.77,
Kepler-786 b,53.5293487,,,2016,Primary Transit,Kepler-786,512,0.09,0.81,
Kepler-787 b,0.9283105,,,2016,Primary Transit,Kepler-787,468,-0.09,0.65,
Kepler-788 b,8.39846269,,,2016,Primary Transit,Kepler-788,1649,0.05,1.16,
Kepler-789 b,8.63847725,,,2016,Primary Transit,Kepler-789,915,-0.06,1.01,
Kepler-79 b,13.4845,0.117,0.015,2013,Primary Transit,Kepler-79,,,1.165,
Kepler-79 c,27.4029,0.187,0.03,2013,Primary Transit,Kepler-79,,,1.165,
Kepler-79 d,52.0902,0.287,0.025,2013,Primary Transit,Kepler-79,,,1.165,
Kepler-79 e,81.0659,0.386,0.012,2013,Primary Transit,Kepler-79,,,1.165,
Kepler-790 b,13.73469807,,,2016,Primary Transit,Kepler-790,727,-0.05,0.84,
Kepler-791 b,14.5539759,,,2016,Primary Transit,Kepler-791,1447,0.06,1.3,
Kepler-792 b,11.30119217,,,2016,Primary Transit,Kepler-792,1205,0.08,1.09,
Kepler-793 b,4.24153639,,,2016,Primary Transit,Kepler-793,794,0,0.98,
Kepler-794 b,11.13125132,,,2016,Primary Transit,Kepler-794,763,0.34,1.19,
Kepler-795 b,29.6193421,,,2016,Primary Transit,Kepler-795,458,-0.02,0.94,
Kepler-796 b,6.40087618,,,2016,Primary Transit,Kepler-796,377,0.09,0.93,
Kepler-797 b,27.07237711,,,2016,Primary Transit,Kepler-797,752,-0.02,0.96,
Kepler-798 b,13.71933369,,,2016,Primary Transit,Kepler-798,1085,0.03,1.19,
Kepler-799 b,133.4605235,,,2016,Primary Transit,Kepler-799,1029,-0.07,0.95,
Kepler-8 b,3.52254,0.0483,0,2010,Primary Transit,Kepler-8,1330,-0.055,1.213,
Kepler-80 b,7.05,,,2012,Primary Transit,Kepler-80,,-0.56,,
Kepler-80 c,9.52,,,2012,Primary Transit,Kepler-80,,-0.56,,
Kepler-80 d,3.07,,,2012,Primary Transit,Kepler-80,,-0.56,,
Kepler-80 e,4.64,,,2012,Primary Transit,Kepler-80,,-0.56,,
Kepler-80 f,0.99,,,2012,Primary Transit,Kepler-80,,-0.56,,
Kepler-800 b,14.13176026,,,2016,Primary Transit,Kepler-800,1049,-0.09,0.85,
Kepler-801 b,11.41928253,,,2016,Primary Transit,Kepler-801,419,-0.17,0.67,
Kepler-802 b,40.0587473,,,2016,Primary Transit,Kepler-802,828,0.06,0.93,
Kepler-803 b,50.28638192,,,2016,Primary Transit,Kepler-803,615,0.02,1.05,
Kepler-804 b,14.37457351,,,2016,Primary Transit,Kepler-804,648,0,1.01,
Kepler-804 c,9.65185017,,,2016,Primary Transit,Kepler-804,648,0,1.01,
Kepler-805 b,30.8638931,,,2016,Primary Transit,Kepler-805,657,-0.06,1.19,
Kepler-806 b,8.09219642,,,2016,Primary Transit,Kepler-806,260,0,0.99,
Kepler-807 b,117.9310878,,,2016,Primary Transit,Kepler-807,1312,-0.04,1.04,
Kepler-808 b,0.63133235,,,2016,Primary Transit,Kepler-808,321,0.05,0.76,
Kepler-809 b,55.63934,,,2016,Primary Transit,Kepler-809,933,0.04,0.99,
Kepler-81 b,5.954893,0.056,0,2013,Primary Transit,Kepler-81,,-0.2,0.648,
Kepler-81 c,12.039901,0.089,0,2013,Primary Transit,Kepler-81,,-0.2,0.648,
Kepler-81 d,20.837846,0.128,,2014,Primary Transit,Kepler-81,,-0.2,0.648,
Kepler-810 b,4.59725385,,,2016,Primary Transit,Kepler-810,1554,0.1,1.03,
Kepler-811 b,23.58447697,,,2016,Primary Transit,Kepler-811,847,0.05,1.01,
Kepler-812 b,10.11716531,,,2016,Primary Transit,Kepler-812,1482,0.02,1.45,
Kepler-813 b,19.12947337,,,2016,Primary Transit,Kepler-813,840,-0.13,0.95,
Kepler-814 b,6.1469851,,,2016,Primary Transit,Kepler-814,1327,0.01,1.15,
Kepler-815 b,8.57503552,,,2016,Primary Transit,Kepler-815,1199,-0.03,1.25,
Kepler-816 b,10.50682565,,,2016,Primary Transit,Kepler-816,1059,0.16,0.9,
Kepler-817 b,3.99010623,,,2016,Primary Transit,Kepler-817,1401,0.02,1.03,
Kepler-818 b,10.03538581,,,2016,Primary Transit,Kepler-818,967,-0.08,0.94,
Kepler-819 b,33.1995648,,,2016,Primary Transit,Kepler-819,722,-0.06,0.86,
Kepler-82 b,26.443794,0.169,0,2011,Primary Transit,Kepler-82,,0.15,0.85,
Kepler-82 c,51.531855,0.264,0,2011,Primary Transit,Kepler-82,,0.15,0.85,
Kepler-82 d,2.382961,0.034,,2011,Primary Transit,Kepler-82,,0.15,0.85,
Kepler-82 e,5.902206,0.063,,2011,Primary Transit,Kepler-82,,0.15,0.85,
Kepler-820 b,127.8338098,,,2016,Primary Transit,Kepler-820,989,0.09,1.23,
Kepler-821 b,1.92279873,,,2016,Primary Transit,Kepler-821,619,-0.03,0.84,
Kepler-822 b,3.22296927,,,2016,Primary Transit,Kepler-822,956,0.04,1.06,
Kepler-823 b,4.16809082,,,2016,Primary Transit,Kepler-823,896,0.06,0.98,
Kepler-824 b,4.51436633,,,2016,Primary Transit,Kepler-824,1352,0.14,1.15,
Kepler-825 b,3.77360059,,,2016,Primary Transit,Kepler-825,820,-0.08,1.03,
Kepler-825 c,8.1818246,,,2016,Primary Transit,Kepler-825,820,-0.08,1.03,
Kepler-826 b,4.48758907,,,2016,Primary Transit,Kepler-826,649,-0.12,1.05,
Kepler-827 b,51.92927591,,,2016,Primary Transit,Kepler-827,1352,-0.06,0.93,
Kepler-828 b,0.56785714,,,2016,Primary Transit,Kepler-828,625,-0.02,0.81,
Kepler-829 b,6.88337562,,,2016,Primary Transit,Kepler-829,954,0.03,0.98,
Kepler-83 b,9.770513,0.078,0,2013,Primary Transit,Kepler-83,,-0.2,0.664,
Kepler-83 c,20.08976,0.126,0,2013,Primary Transit,Kepler-83,,-0.2,0.664,
Kepler-83 d,5.169796,0.051,,2014,Primary Transit,Kepler-83,,-0.2,0.664,
Kepler-830 b,11.29695137,,,2016,Primary Transit,Kepler-830,1122,-0.02,1.07,
Kepler-831 b,5.62153941,,,2016,Primary Transit,Kepler-831,577,0.02,0.99,
Kepler-832 b,7.1396941,,,2016,Primary Transit,Kepler-832,1346,-0.08,0.92,
Kepler-833 b,18.7546998,,,2016,Primary Transit,Kepler-833,421,-0.18,0.64,
Kepler-834 b,13.32388301,,,2016,Primary Transit,Kepler-834,620,-0.13,0.7,
Kepler-835 b,11.41909375,,,2016,Primary Transit,Kepler-835,2011,0.08,1.08,
Kepler-836 b,11.36112327,,,2016,Primary Transit,Kepler-836,1003,-0.01,1.03,
Kepler-837 b,16.56059504,,,2016,Primary Transit,Kepler-837,846,-0.18,0.85,
Kepler-838 b,15.74957994,,,2016,Primary Transit,Kepler-838,1210,-0.06,0.98,
Kepler-839 b,37.8144514,,,2016,Primary Transit,Kepler-839,833,0.29,1.22,
Kepler-84 b,8.725854,0.083,0,2013,Primary Transit,Kepler-84,,-0.2,1.022,
Kepler-84 c,12.882525,0.108,0,2013,Primary Transit,Kepler-84,,-0.2,1.022,
Kepler-84 d,4.224537,0.052,,2014,Primary Transit,Kepler-84,,-0.2,1.022,
Kepler-84 e,27.434389,0.181,,2014,Primary Transit,Kepler-84,,-0.2,1.022,
Kepler-84 f,44.552169,0.25,,2014,Primary Transit,Kepler-84,,-0.2,1.022,
Kepler-840 b,2.49577962,,,2016,Primary Transit,Kepler-840,778,0,1.04,
Kepler-841 b,124.4198398,,,2016,Primary Transit,Kepler-841,1052,-0.09,0.85,
Kepler-842 b,1.21956827,,,2016,Primary Transit,Kepler-842,552,-0.02,0.78,
Kepler-843 b,2.05387982,,,2016,Primary Transit,Kepler-843,1247,0.05,1.02,
Kepler-844 b,2.61302086,,,2016,Primary Transit,Kepler-844,394,-0.24,0.59,
Kepler-845 b,0.92785982,,,2016,Primary Transit,Kepler-845,471,0.01,0.79,
Kepler-846 b,19.80792185,,,2016,Primary Transit,Kepler-846,1233,0,0.94,
Kepler-847 b,2.3432319,,,2016,Primary Transit,Kepler-847,529,0.15,0.83,
Kepler-848 b,6.91134416,,,2016,Primary Transit,Kepler-848,797,0.15,1.01,
Kepler-849 b,394.6244904,,,2016,Primary Transit,Kepler-849,747,0.12,1.23,
Kepler-85 b,8.305992,0.07891,,2013,Primary Transit,Kepler-85,,,0.95,
Kepler-85 c,12.51217,0.10369,,2013,Primary Transit,Kepler-85,,,0.95,
Kepler-85 d,17.91323,0.13,,2014,Primary Transit,Kepler-85,,,0.95,
Kepler-85 e,25.216751,0.163,,2014,Primary Transit,Kepler-85,,,0.95,
Kepler-850 b,7.19303878,,,2016,Primary Transit,Kepler-850,1535,0.03,1.06,
Kepler-851 b,8.50699658,,,2016,Primary Transit,Kepler-851,869,-0.07,0.89,
Kepler-852 b,44.9309804,,,2016,Primary Transit,Kepler-852,854,0.22,1.19,
Kepler-853 b,7.16892463,,,2016,Primary Transit,Kepler-853,610,0.07,1.3,
Kepler-854 b,2.14463285,,,2016,Primary Transit,Kepler-854,741,0.04,1.17,
Kepler-855 b,7.8866311,,,2016,Primary Transit,Kepler-855,1043,0.06,1.03,
Kepler-856 b,8.02768059,,,2016,Primary Transit,Kepler-856,1175,0.12,0.96,
Kepler-857 b,85.35129427,,,2016,Primary Transit,Kepler-857,1039,0.02,0.99,
Kepler-858 b,76.13602028,,,2016,Primary Transit,Kepler-858,296,-0.04,0.96,
Kepler-859 b,20.38177573,,,2016,Primary Transit,Kepler-859,915,-0.02,0.81,
Kepler-86 b,282.5254,0.824,0.28,2013,Primary Transit,Kepler-86,,-0.078,0.94,
Kepler-860 b,5.10137945,,,2016,Primary Transit,Kepler-860,1295,0.09,1.04,
Kepler-861 b,3.94963138,,,2016,Primary Transit,Kepler-861,806,0.01,0.82,
Kepler-862 b,3.14866453,,,2016,Primary Transit,Kepler-862,806,0.04,0.88,
Kepler-863 b,15.59461874,,,2016,Primary Transit,Kepler-863,1145,-0.03,0.96,
Kepler-864 b,5.83376092,,,2016,Primary Transit,Kepler-864,1573,0.04,1,
Kepler-865 b,14.16399294,,,2016,Primary Transit,Kepler-865,664,-0.01,0.93,
Kepler-866 b,2.61703254,,,2016,Primary Transit,Kepler-866,690,-0.07,0.75,
Kepler-867 b,150.242127,,,2016,Primary Transit,Kepler-867,824,-0.02,0.92,
Kepler-868 b,5.03251791,,,2016,Primary Transit,Kepler-868,1269,-0.08,0.93,
Kepler-869 b,40.4287755,,,2016,Primary Transit,Kepler-869,957,0.02,0.97,
Kepler-87 b,114.73709,0.471,0.036,2013,Primary Transit,Kepler-87,,-0.17,1.1,
Kepler-87 c,192.363,0.664,0.039,2012,Primary Transit,Kepler-87,,-0.17,1.1,
Kepler-870 b,21.3587621,,,2016,Primary Transit,Kepler-870,1231,-0.01,1.01,
Kepler-871 b,22.0459018,,,2016,Primary Transit,Kepler-871,1695,0.09,1.11,
Kepler-872 b,2.57885507,,,2016,Primary Transit,Kepler-872,1114,0.04,1.05,
Kepler-873 b,20.5533844,,,2016,Primary Transit,Kepler-873,1397,0.07,1.18,
Kepler-874 b,40.0686727,,,2016,Primary Transit,Kepler-874,1072,0.03,1.09,
Kepler-875 b,27.5073799,,,2016,Primary Transit,Kepler-875,1244,0.03,1.06,
Kepler-876 b,5.14438011,,,2016,Primary Transit,Kepler-876,735,-0.03,0.81,
Kepler-877 b,18.45847097,,,2016,Primary Transit,Kepler-877,572,-0.06,0.85,
Kepler-878 b,25.9422033,,,2016,Primary Transit,Kepler-878,567,-0.03,0.81,
Kepler-879 b,33.3855938,,,2016,Primary Transit,Kepler-879,772,0.05,1.02,
Kepler-88 b,10.95416,,0.05593,2013,Primary Transit,Kepler-88,385,0.37,1.022,B
Kepler-88 c,22.3395,0.1529,0.05628,2013,Radial Velocity,Kepler-88,385,0.37,1.022,B
Kepler-88 d,1431,2.464,0.432,2019,Radial Velocity,Kepler-88,385,0.37,1.022,B
Kepler-880 b,7.71468975,,,2016,Primary Transit,Kepler-880,673,0.03,1.46,
Kepler-881 b,4.44448017,,,2016,Primary Transit,Kepler-881,1364,0,1.06,
Kepler-882 b,3.98953967,,,2016,Primary Transit,Kepler-882,525,-0.03,0.9,
Kepler-883 b,12.98495573,,,2016,Primary Transit,Kepler-883,549,-0.13,1.06,
Kepler-884 b,5.69919514,,,2016,Primary Transit,Kepler-884,420,0.05,1,
Kepler-885 b,18.11472949,,,2016,Primary Transit,Kepler-885,632,0.11,1.21,
Kepler-886 b,6.24146367,,,2016,Primary Transit,Kepler-886,857,-0.01,1.1,
Kepler-887 b,20.42228798,,,2016,Primary Transit,Kepler-887,831,0.08,1.19,
Kepler-887 c,7.63846023,,,2016,Primary Transit,Kepler-887,831,0.08,1.19,
Kepler-888 b,70.6979061,,,2016,Primary Transit,Kepler-888,413,-0.21,0.97,
Kepler-889 b,3.744439,,,2016,Primary Transit,Kepler-889,513,0.19,1.14,
Kepler-89 b,3.7432451,0.05,,2012,Primary Transit,Kepler-89,,-0.01,1.25,
Kepler-89 c,10.423707,0.099,,2012,Primary Transit,Kepler-89,,-0.01,1.25,
Kepler-89 d,22.3430004,0.165,,2012,Primary Transit,Kepler-89,,-0.01,1.25,
Kepler-89 e,54.319931,0.298,,2012,Primary Transit,Kepler-89,,-0.01,1.25,
Kepler-890 b,52.75875577,,,2016,Primary Transit,Kepler-890,1387,0.09,1.09,
Kepler-891 b,53.44945593,,,2016,Primary Transit,Kepler-891,1372,0.09,1.06,
Kepler-892 b,13.7521072,,,2016,Primary Transit,Kepler-892,640,-0.04,0.75,
Kepler-893 b,6.33855761,,,2016,Primary Transit,Kepler-893,1216,-0.03,1,
